0 		 start2 		 start2
1 		 start1 		 start1
2 		 nsubj 		 start2
3 		 nmod 		 start1
4 		 case 		 start2
5 		 case 		 start1
6 		 root 		 root
7 		 cop 		 lwg_vaux
8 		 punct 		 rsym
9 		 obl 		 k2u
10 		 case 		 lwg_psp
11 		 case 		 lwg_psp
12 		 nsubj 		 lwg_psp
13 		 case 		 lwg_psp
14 		 compound 		 lwg_psp
15 		 root 		 root
16 		 aux 		 lwg_vaux
17 		 mark 		 pof_cn
18 		 nsubj 		 k2u
19 		 nmod 		 lwg_psp
20 		 obl 		 lwg_psp
21 		 case 		 lwg_psp
22 		 amod 		 lwg_psp
23 		 compound 		 lwg_psp
24 		 obj 		 lwg_psp
25 		 punct 		 rsym
26 		 nmod 		 k2u
27 		 punct 		 rsym
28 		 advmod 		 k2u
29 		 obj 		 lwg_psp
30 		 punct 		 rsym
31 		 mark 		 k2u
32 		 punct 		 rsym
33 		 nmod 		 k2u
34 		 case 		 lwg_psp
35 		 nsubj 		 lwg_psp
36 		 case 		 lwg_psp
37 		 case 		 lwg_psp
38 		 amod 		 lwg_psp
39 		 compound 		 lwg_psp
40 		 nmod 		 lwg_psp
41 		 case 		 lwg_psp
42 		 obl 		 lwg_psp
43 		 case 		 lwg_psp
44 		 obj 		 lwg_psp
45 		 nmod 		 lwg_psp
46 		 mark 		 lwg_psp
47 		 mark 		 lwg_psp
48 		 nsubj 		 lwg_psp
49 		 advmod 		 lwg_psp
50 		 root 		 root
51 		 punct 		 rsym
52 		 compound 		 k2u
53 		 compound 		 lwg_psp
54 		 nmod 		 lwg_psp
55 		 mark 		 lwg_psp
56 		 nmod 		 lwg_psp
57 		 case 		 lwg_psp
58 		 amod 		 lwg_psp
59 		 nummod 		 enm
60 		 nmod 		 k2u
61 		 case 		 lwg_psp
62 		 det 		 mod_wq
63 		 root 		 root
64 		 cop 		 lwg_vaux
65 		 punct 		 rsym
66 		 nmod 		 k2u
67 		 compound 		 lwg_psp
68 		 obl 		 lwg_psp
69 		 root 		 root
70 		 obl 		 lwg_vaux
71 		 compound 		 pof_cn
72 		 obl 		 k2u
73 		 case 		 lwg_psp
74 		 compound 		 lwg_psp
75 		 nsubj 		 lwg_psp
76 		 case 		 lwg_psp
77 		 acl:relcl 		 lwg_psp
78 		 mark 		 lwg_psp
79 		 obl 		 lwg_psp
80 		 nsubj 		 lwg_psp
81 		 obl 		 lwg_psp
82 		 case 		 lwg_psp
83 		 case 		 lwg_psp
84 		 compound 		 lwg_psp
85 		 compound 		 lwg_psp
86 		 obj 		 lwg_psp
87 		 compound 		 lwg_psp
88 		 obj 		 lwg_psp
89 		 aux 		 lwg_psp
90 		 aux:pass 		 lwg_vaux
91 		 aux:pass 		 lwg_vaux
92 		 punct 		 rsym
93 		 nsubj 		 k2u
94 		 case 		 lwg_psp
95 		 det 		 mod_wq
96 		 obl 		 pof_cn
97 		 case 		 k2u
98 		 case 		 lwg_psp
99 		 compound 		 lwg_psp
100 		 obl 		 lwg_psp
101 		 case 		 lwg_psp
102 		 amod 		 lwg_psp
103 		 obl 		 lwg_psp
104 		 case 		 lwg_psp
105 		 amod 		 lwg_psp
106 		 aux:pass 		 lwg_vaux
107 		 mark 		 pof_cn
108 		 obl 		 k2u
109 		 case 		 lwg_psp
110 		 case 		 lwg_psp
111 		 nummod 		 enm
112 		 nmod 		 k2u
113 		 dep 		 lwg_psp
114 		 nmod 		 lwg_psp
115 		 case 		 lwg_psp
116 		 obl 		 lwg_psp
117 		 case 		 lwg_psp
118 		 compound 		 lwg_psp
