0 		 start2 		 start2
1 		 start1 		 start1
2 		 det 		 mod_wq
3 		 advmod 		 rd
4 		 case 		 lwg__psp
5 		 nmod 		 lwg__psp
6 		 case 		 pof
7 		 compound 		 main
8 		 nsubj 		 k1
9 		 nmod 		 lwg__psp
10 		 obj 		 r6
11 		 compound 		 lwg__psp
12 		 nmod 		 nmod__adj
13 		 mark 		 nmod__adj
14 		 obl 		 pof__cn
15 		 case 		 k1
16 		 root 		 root
17 		 aux 		 lwg_vaux
18 		 punct 		 rsym
19 		 start2 		 start2
20 		 start1 		 start1
21 		 obj 		 nmod__adj
22 		 advcl 		 rh
23 		 root 		 root
24 		 aux:pass 		 lwg_vaux
25 		 aux:pass 		 lwg_vaux
26 		 aux:pass 		 lwg_vaux
27 		 mark 		 lwg_psp
28 		 amod 		 nmod_adj
29 		 mark 		 lwg_psp
30 		 nsubj 		 nmod_adj
31 		 compound 		 pof_cn
32 		 obl 		 lwg_psp
33 		 case 		 nmod_adj
34 		 obj 		 pof_cn
35 		 mark 		 lwg_psp
36 		 acl 		 nmod_adj
37 		 punct 		 rsym
38 		 start2 		 start2
39 		 start1 		 start1
40 		 nmod 		 nmod__adj
41 		 case 		 k1
42 		 compound 		 lwg__psp
43 		 nmod 		 r6
44 		 cc 		 k1
45 		 nmod 		 lwg__rp
46 		 case 		 nmod__adj
47 		 compound 		 k1s
48 		 nmod 		 main
49 		 compound 		 start2
50 		 obl 		 start1
51 		 case 		 nmod__adj
52 		 case 		 k1
53 		 obl 		 lwg__psp
54 		 case 		 r6
55 		 nsubj 		 k1
56 		 case 		 lwg__rp
57 		 dep 		 nmod__adj
58 		 compound 		 k1s
59 		 compound 		 main
60 		 obl 		 start2
61 		 case 		 start1
62 		 case 		 nmod__adj
63 		 compound 		 k1
64 		 compound 		 lwg__psp
65 		 obl 		 r6
66 		 case 		 lwg__psp
67 		 nmod 		 nmod__adj
68 		 obj 		 nmod__adj
69 		 compound 		 pof__cn
70 		 root 		 root
71 		 aux 		 lwg_vaux
72 		 aux:pass 		 lwg_vaux
73 		 punct 		 rsym
74 		 start2 		 start2
75 		 start1 		 start1
76 		 nmod 		 nmod__adj
77 		 case 		 k1
78 		 obl 		 lwg__psp
79 		 case 		 r6
80 		 nsubj 		 k1
81 		 case 		 lwg__rp
82 		 dep 		 nmod__adj
83 		 nmod 		 k1s
84 		 compound 		 main
85 		 obj 		 start2
86 		 compound 		 start1
87 		 punct 		 rsym
88 		 nummod 		 enm
89 		 compound 		 pof_cn
90 		 obj 		 lwg_psp
91 		 case 		 nmod_adj
92 		 compound 		 pof_cn
93 		 root 		 root
94 		 aux 		 lwg_vaux
95 		 punct 		 rsym
96 		 start2 		 start2
97 		 start1 		 start1
98 		 mark 		 nmod__adj
99 		 punct 		 rsym
100 		 nsubj 		 k1
101 		 obl 		 nmod__adj
102 		 compound 		 k1s
103 		 nmod 		 main
104 		 case 		 start2
105 		 obl 		 start1
106 		 case 		 nmod__adj
107 		 nmod 		 k1
108 		 obj 		 lwg__psp
109 		 case 		 r6
110 		 compound 		 lwg__psp
111 		 obl 		 nmod__adj
112 		 mark 		 nmod__adj
113 		 root 		 root
114 		 aux 		 lwg_vaux
115 		 aux:pass 		 lwg_vaux
116 		 punct 		 rsym
117 		 start2 		 start2
118 		 start1 		 start1
119 		 det 		 mod_wq
120 		 root 		 root
121 		 cop 		 lwg_vaux
122 		 mark 		 lwg_psp
123 		 obl 		 nmod_adj
124 		 case 		 pof_cn
125 		 nsubj 		 k1
126 		 case 		 lwg__psp
127 		 nummod 		 enm
128 		 amod 		 pof_cn
129 		 nmod 		 k1
130 		 case 		 lwg__psp
131 		 compound 		 r6
132 		 nmod 		 lwg__psp
133 		 case 		 nmod__adj
134 		 nmod 		 nmod__adj
135 		 case 		 pof__cn
136 		 compound 		 k1
137 		 acl 		 lwg__psp
138 		 aux 		 r6
139 		 punct 		 rsym
140 		 start2 		 start2
141 		 start1 		 start1
142 		 nmod 		 nmod__adj
143 		 nmod 		 k1
144 		 compound 		 lwg__psp
145 		 nsubj 		 k1
146 		 case 		 lwg__psp
147 		 nmod 		 r6
148 		 obl 		 lwg__psp
149 		 case 		 nmod__adj
150 		 case 		 nmod__adj
151 		 case 		 pof__cn
152 		 nummod 		 enm
153 		 det 		 mod_wq
154 		 compound 		 rd
155 		 root 		 root
156 		 aux 		 lwg_vaux
157 		 punct 		 rsym
158 		 nsubj 		 k1
159 		 nmod 		 nmod__adj
160 		 obj 		 k1s
161 		 case 		 main
162 		 compound 		 start2
163 		 acl:relcl 		 start1
164 		 aux 		 nmod__adj
165 		 punct 		 rsym
166 		 start2 		 start2
167 		 start1 		 start1
168 		 nmod 		 nmod__adj
169 		 amod 		 k1
170 		 obl 		 lwg__psp
171 		 case 		 r6
172 		 nsubj 		 k1
173 		 case 		 lwg__rp
174 		 root 		 root
