S.No.		Word		AnnCorra		UD

0 		 start2 		 start2 		 start2
1 		 start1 		 start1 		 start1
2 		 start2 		 start2 		 start2
3 		 start1 		 start1 		 start1
4 		 यह 		 nmod_adj 		 amod
5 		 जूते 		 k1 		 nsubj
6 		 उसके 		 r6 		 nmod
7 		 हैं 		 root 		 root
8 		 । 		 rsym 		 punct
9 		 start2 		 start2 		 start2
10 		 start1 		 start1 		 start1
11 		 यह 		 k1 		 nsubj
12 		 40 		 nmod_adj 		 amod
13 		 मीटर 		 jjmod 		 advmod
14 		 ऊँची 		 k1s 		 dobj
15 		 है 		 root 		 root
16 		 । 		 rsym 		 punct
17 		 start2 		 start2 		 start2
18 		 start1 		 start1 		 start1
19 		 सुनहरी 		 k1 		 nsubj
20 		 एक 		 nmod_adj 		 amod
21 		 जासूस 		 k1s 		 dobj
22 		 है 		 root 		 root
23 		 । 		 rsym 		 punct
24 		 start2 		 start2 		 start2
25 		 start1 		 start1 		 start1
26 		 राजा 		 k1 		 nsubj
27 		 नतमस्तक 		 pof 		 compound
28 		 हो 		 root 		 root
29 		 गया 		 lwg_vaux 		 aux
30 		 । 		 rsym 		 punct
31 		 start2 		 start2 		 start2
32 		 start1 		 start1 		 start1
33 		 माही 		 k1 		 nsubj
34 		 अब 		 k7t 		 nmod
35 		 शादीशुदा 		 k1s 		 dobj
36 		 है 		 root 		 root
37 		 । 		 rsym 		 punct
38 		 start2 		 start2 		 start2
39 		 start1 		 start1 		 start1
40 		 वह 		 nmod_adj 		 amod
41 		 लड़की 		 k1 		 nsubj
42 		 हैरान 		 k1s 		 dobj
43 		 रह 		 root 		 root
44 		 गई 		 lwg_vaux 		 aux
45 		 । 		 rsym 		 punct
46 		 start2 		 start2 		 start2
47 		 start1 		 start1 		 start1
48 		 तुमने 		 k1 		 nsubj
49 		 अच्छी 		 nmod_adj 		 amod
50 		 बात 		 k2 		 case
51 		 कही 		 root 		 root
52 		 है 		 lwg_vaux 		 aux
53 		 । 		 rsym 		 punct
54 		 start2 		 start2 		 start2
55 		 start1 		 start1 		 start1
56 		 पणजी 		 k1 		 nsubj
57 		 गोवा 		 r6 		 nmod
58 		 की 		 lwg_psp 		 case
59 		 राजधानी 		 k1s 		 dobj
60 		 है 		 root 		 root
61 		 । 		 rsym 		 punct
62 		 start2 		 start2 		 start2
63 		 start1 		 start1 		 start1
64 		 वे 		 k1 		 nsubj
65 		 दरबार 		 k2p 		 nmod
66 		 छोड़कर 		 vmod 		 pof__cn
67 		 चले 		 root 		 root
68 		 गये 		 lwg_vaux 		 aux
69 		 । 		 rsym 		 punct
70 		 start2 		 start2 		 start2
71 		 start1 		 start1 		 start1
72 		 राज 		 k1 		 nsubj
73 		 रोमांचित 		 pof 		 compound
74 		 हो 		 root 		 root
75 		 जाता 		 lwg_vaux 		 aux
76 		 है 		 lwg_vaux_cont 		 aux
77 		 । 		 rsym 		 punct
78 		 start2 		 start2 		 start2
79 		 start1 		 start1 		 start1
80 		 गोवा 		 k1 		 nsubj
81 		 एक 		 nmod_adj 		 amod
82 		 छोटा-सा 		 nmod_adj 		 amod
83 		 राज्य 		 k1s 		 dobj
84 		 है 		 root 		 root
85 		 । 		 rsym 		 punct
86 		 start2 		 start2 		 start2
87 		 start1 		 start1 		 start1
88 		 मैं 		 k1 		 nsubj
89 		 घर 		 k5 		 nmod
90 		 से 		 lwg_psp 		 case
91 		 नौ 		 nmod_adj 		 amod
92 		 बजे 		 k7t 		 nmod
93 		 निकला 		 root 		 root
94 		 था 		 lwg_vaux 		 aux
95 		 । 		 rsym 		 punct
96 		 start2 		 start2 		 start2
97 		 start1 		 start1 		 start1
98 		 इस 		 nmod_adj 		 amod
99 		 बाग 		 k7p 		 nmod
100 		 में 		 lwg_psp 		 case
101 		 ऊँचा 		 pof 		 compound
102 		 उठा 		 nmod_k1inv 		 acl
103 		 पथ 		 k1 		 case
104 		 है 		 root 		 root
105 		 । 		 rsym 		 punct
106 		 start2 		 start2 		 start2
107 		 start1 		 start1 		 start1
108 		 ऊँचाई 		 r6 		 nmod
109 		 का 		 lwg_psp 		 case
110 		 ध्यान 		 pof 		 compound
111 		 रखा 		 root 		 root
112 		 गया 		 lwg_vaux 		 aux
113 		 है 		 lwg_vaux_cont 		 aux
114 		 । 		 rsym 		 punct
115 		 start2 		 start2 		 start2
116 		 start1 		 start1 		 start1
117 		 उसने 		 k1 		 nsubj
118 		 यहां 		 k7p 		 nmod
119 		 एक 		 nmod_adj 		 amod
120 		 बावली 		 k2 		 case
121 		 बनवायी 		 root 		 root
122 		 । 		 rsym 		 punct
123 		 start2 		 start2 		 start2
124 		 start1 		 start1 		 start1
125 		 प्रेम 		 k1 		 nsubj
