S.No.		UD		AnnCorra

0 		 start2 		 start2
1 		 start1 		 start1
2 		 obl 		 nmod__adj
3 		 case 		 k1
4 		 compound 		 lwg__psp
5 		 nmod 		 r6
6 		 nsubj 		 k1
7 		 case 		 lwg__rp
8 		 amod 		 nmod__adj
9 		 obl 		 k1s
10 		 case 		 main
11 		 case 		 start2
12 		 compound 		 start1
13 		 obj 		 nmod__adj
14 		 case 		 k1
15 		 advcl 		 lwg__psp
16 		 amod 		 r6
17 		 amod 		 lwg__psp
18 		 nmod 		 nmod__adj
19 		 compound 		 nmod__adj
20 		 obj 		 pof__cn
21 		 case 		 k1
22 		 compound 		 lwg__psp
23 		 nmod 		 r6
24 		 case 		 lwg__psp
25 		 acl 		 nmod__adj
26 		 root 		 root
27 		 aux 		 lwg_vaux
28 		 punct 		 rsym
29 		 start2 		 start2
30 		 start1 		 start1
31 		 obl 		 nmod__adj
32 		 case 		 k1
33 		 obj 		 lwg__psp
34 		 compound 		 r6
35 		 advcl 		 lwg__psp
36 		 mark 		 nmod__adj
37 		 mark 		 nmod__adj
38 		 amod 		 pof__cn
39 		 nmod 		 k1
40 		 compound 		 lwg__psp
41 		 compound 		 r6
42 		 obj 		 lwg__psp
43 		 case 		 nmod__adj
44 		 compound 		 nmod__adj
45 		 compound 		 pof__cn
46 		 nmod 		 k1
47 		 case 		 lwg__psp
48 		 acl 		 r6
49 		 root 		 root
50 		 aux 		 lwg_vaux
51 		 punct 		 rsym
52 		 cc 		 k1
53 		 nmod 		 nmod__adj
54 		 nmod 		 k1s
55 		 case 		 main
56 		 nsubj 		 k1
57 		 nmod 		 lwg__psp
58 		 case 		 r6
59 		 nsubj 		 k1
60 		 amod 		 lwg__rp
61 		 advmod 		 nmod__adj
62 		 case 		 k1s
63 		 compound 		 main
64 		 conj 		 ccof
65 		 punct 		 rsym
66 		 start2 		 start2
67 		 start1 		 start1
68 		 compound 		 nmod__adj
69 		 nmod 		 k1
70 		 case 		 lwg__psp
71 		 nsubj 		 k1
72 		 nmod 		 lwg__psp
73 		 mark 		 r6
74 		 nummod 		 enm
75 		 obl 		 lwg_psp
76 		 case 		 lwg_psp
77 		 case 		 lwg_psp
78 		 dep 		 lwg_psp
79 		 nummod 		 enm
80 		 amod 		 nmod_adj
81 		 nsubj:pass 		 k1
82 		 obj 		 lwg__psp
83 		 case 		 r6
84 		 advcl 		 lwg__psp
85 		 root 		 root
86 		 aux:pass 		 lwg_vaux
87 		 punct 		 rsym
88 		 start2 		 start2
89 		 start1 		 start1
90 		 iobj 		 k4
91 		 case 		 lwg__psp
92 		 obj 		 nmod__adj
93 		 amod 		 nmod__adj
94 		 mark 		 pof__cn
95 		 nmod 		 k1
96 		 case 		 lwg__psp
97 		 amod 		 r6
98 		 nmod 		 lwg__psp
99 		 punct 		 rsym
100 		 amod 		 k1
101 		 conj 		 ccof
102 		 cc 		 k1
103 		 amod 		 r6
104 		 conj 		 ccof
105 		 case 		 lwg__psp
106 		 case 		 nmod__adj
107 		 nsubj 		 k1
108 		 cc 		 k1
109 		 amod 		 nmod__adj
110 		 conj 		 ccof
111 		 root 		 root
112 		 cop 		 lwg_vaux
113 		 punct 		 rsym
114 		 start2 		 start2
115 		 start1 		 start1
116 		 nmod 		 nmod__adj
117 		 case 		 k1
118 		 obl 		 lwg__psp
119 		 case 		 r6
120 		 det 		 mod_wq
121 		 nsubj 		 k1
122 		 case 		 lwg__psp
123 		 obl 		 r6
124 		 case 		 lwg__psp
125 		 obl 		 nmod__adj
126 		 dep 		 nmod__adj
127 		 obj 		 pof__cn
128 		 case 		 k1
129 		 advmod 		 lwg__psp
130 		 root 		 root
131 		 punct 		 rsym
132 		 start2 		 start2
133 		 start1 		 start1
134 		 nummod 		 enm
135 		 amod 		 nmod_adj
136 		 nmod 		 k2u
137 		 case 		 lwg_psp
138 		 obj 		 lwg_psp
139 		 advcl 		 lwg_psp
140 		 mark 		 lwg_psp
141 		 nsubj 		 lwg_psp
142 		 case 		 lwg_psp
143 		 advmod 		 lwg_psp
144 		 amod 		 lwg_psp
145 		 compound 		 lwg_psp
146 		 root 		 root
147 		 aux 		 lwg_vaux
148 		 punct 		 rsym
149 		 start2 		 start2
150 		 start1 		 start1
151 		 compound 		 nmod__adj
152 		 obl 		 k1
153 		 cc 		 k1
154 		 conj 		 ccof
155 		 case 		 main
156 		 nmod 		 start2
157 		 nsubj 		 start1
158 		 case 		 nmod__adj
159 		 obj 		 k1
160 		 case 		 lwg__psp
161 		 nmod 		 r6
162 		 case 		 lwg__psp
163 		 obj 		 nmod__adj
164 		 nmod 		 nmod__adj
165 		 cc 		 k1
166 		 advmod 		 lwg__psp
167 		 conj 		 ccof
168 		 mark 		 main
169 		 obj 		 start2
170 		 root 		 root
171 		 aux 		 lwg_vaux
172 		 cc 		 k1
173 		 nummod 		 enm
174 		 dep 		 nmod_adj
175 		 nsubj 		 k2u
176 		 obj 		 lwg_psp
177 		 obl 		 lwg_psp
178 		 mark 		 lwg_psp
179 		 amod 		 lwg_psp
180 		 advmod 		 lwg_psp
181 		 case 		 lwg_psp
182 		 compound 		 lwg_psp
183 		 conj 		 ccof
184 		 punct 		 rsym
185 		 start2 		 start2
186 		 start1 		 start1
187 		 nmod 		 nmod__adj
188 		 obl 		 k1
