hewu, obl, 1

havAle se, obl, 1

svarUpa, obl, 1

se lekara, nmod, 17
se lekara, conj, 1

se bawOra, obl, 1

se pare, nmod, 1
se pare, obj, 1

se alaga, nmod, 1

se, obl, 2700
se, obj, 426
se, nmod, 425
se, iobj, 264
se, case, 188
se, conj, 148
se, advcl, 138
se, advmod, 57
se, punct, 25
se, nummod, 20
se, aux:pass, 14
se, aux, 13
se, acl, 11
se, nsubj, 11
se, xcomp, 6
se, root, 6
se, mark, 6
se, compound, 6
se, nsubj:pass, 4
se, amod, 4
se, dep, 3
se, acl:relcl, 1

sI, xcomp, 1

sahiwa, obl, 28
sahiwa, conj, 18
sahiwa, nmod, 7
sahiwa, punct, 1

sarIKe, nmod, 1

sarIKI, nmod, 2

sarIKA, obl, 1

samewa, obl, 62
samewa, conj, 26
samewa, nmod, 6
samewa, punct, 1

samAna, root, 1
samAna, acl, 1

samaya, obl, 13
samaya, advcl, 2

saMbaXI, amod, 1

saMbaMXI, amod, 6
saMbaMXI, nmod, 2
saMbaMXI, aux:pass, 2

viroXa meM, obl, 1

viparIwa, obl, 1

vAloM se, iobj, 1
vAloM se, obl, 1

vAloM meM, obl, 7

vAloM para, obl, 1

vAloM ne, nsubj, 2

vAloM xvArA, nsubj:pass, 1

vAloM ko, iobj, 9
vAloM ko, obj, 3
vAloM ko, conj, 2
vAloM ko, nsubj, 2

vAloM ke viruxXa, advcl, 2

vAloM ke lie, advcl, 3
vAloM ke lie, obl, 1

vAloM ke bAre, obl, 1

vAloM ke KilAPZ, advcl, 1

vAloM ke, nmod, 2

vAloM kI, nmod, 5
vAloM kI, amod, 1
vAloM kI, conj, 1

vAloM kA, nsubj, 1
vAloM kA, nmod, 1

vAloM, obj, 1

vAle samaya meM, obl, 1

vAle para, obl, 1

vAle ne, nsubj, 1

vAle ko, obj, 1

vAle ke lie, advcl, 2

vAle ke bAre, obl, 1

vAle ke KilAPZ, advcl, 1

vAle ke KilAPa, advcl, 2

vAle ke, nmod, 1
vAle ke, obl, 1

vAle, amod, 263
vAle, nmod, 76
vAle, aux:pass, 25
vAle, acl, 16
vAle, nsubj, 12
vAle, conj, 7
vAle, aux, 5
vAle, obl, 2
vAle, xcomp, 1
vAle, compound, 1
vAle, acl:relcl, 1
vAle, root, 1

vAlI, amod, 145
vAlI, nmod, 51
vAlI, acl, 13
vAlI, aux:pass, 13
vAlI, conj, 10
vAlI, aux, 2
vAlI, obl, 1
vAlI, nummod, 1

vAlA, amod, 23
vAlA, nmod, 10
vAlA, obj, 5
vAlA, acl, 4
vAlA, conj, 3
vAlA, aux:pass, 3
vAlA, nsubj, 2
vAlA, punct, 1

vajaha se, obl, 7
vajaha se, nmod, 1

vakwa, obl, 4

lie, obl, 119
lie, nmod, 14
lie, nsubj, 1

lAyaka, obj, 1
lAyaka, nsubj, 1
lAyaka, advcl, 1
lAyaka, advmod, 1
lAyaka, amod, 1

yogya, obj, 1

meM se, obl, 35
meM se, nmod, 16
meM se, conj, 3
meM se, obj, 1
meM se, root, 1

meM bawOra, obl, 4

meM, obl, 6651
meM, nmod, 707
meM, conj, 228
meM, root, 68
meM, dep, 64
meM, punct, 38
meM, obj, 38
meM, case, 15
meM, compound, 8
meM, advmod, 7
meM, nsubj, 7
meM, acl:relcl, 6
meM, aux, 6
meM, advcl, 5
meM, amod, 4
meM, aux:pass, 2
meM, nsubj:pass, 1
meM, acl, 1

me, obl, 1

muwAbika, obl, 7
muwAbika, nmod, 5

mAXyama se, obl, 1

maxxenajZra, obl, 1

maxxenajara, obl, 4

bAvajUxa, obl, 7
bAvajUxa, nmod, 2
bAvajUxa, root, 1

bAre meM, obl, 96
bAre meM, nmod, 3

bAbawa, obl, 4
bAbawa, nmod, 2
bAbawa, obj, 1

banAma, nmod, 1

baxale, obl, 2

bawOra, dep, 2
bawOra, advcl, 1
bawOra, conj, 1
bawOra, obj, 1
bawOra, nummod, 1
bawOra, amod, 1
bawOra, acl:relcl, 1
bawOra, mark, 1

bakOla, punct, 10

PalasvarUpa, obl, 1

prawi, obl, 4

pariNAmasvarUpa, obl, 2

para se, conj, 1
para se, obl, 1

para, obl, 2738
para, nmod, 187
para, conj, 95
para, aux:pass, 49
para, root, 34
para, obj, 28
para, advcl, 17
para, punct, 14
para, aux, 11
para, acl:relcl, 8
para, compound, 7
para, nsubj, 3
para, nummod, 2
para, advmod, 1
para, amod, 1
para, iobj, 1

ne bawOra, nsubj, 1

ne, nsubj, 4683
ne, conj, 137
ne, punct, 48
ne, nsubj:pass, 10
ne, dep, 3
ne, obl, 3
ne, obj, 1

xvArA, nsubj:pass, 195
xvArA, nsubj, 85
xvArA, obl, 64
xvArA, conj, 18
xvArA, nmod, 15
xvArA, punct, 7
xvArA, obj, 4

wahawa, obl, 26
wahawa, nmod, 2
wahawa, root, 1

wale, obl, 3

waraha, dep, 1

waka se, obl, 1

waka meM, obl, 2

waka ke lie, obl, 13

waka ke, nmod, 6

waka kI, nmod, 13
waka kI, punct, 1

waka kA, nmod, 13

waka, obl, 528
waka, nmod, 40
waka, case, 11
waka, obj, 7
waka, conj, 6
waka, root, 6
waka, xcomp, 6
waka, compound, 4
waka, nsubj, 3
waka, aux:pass, 3
waka, advcl, 2
waka, nummod, 2
waka, mark, 2
waka, nsubj:pass, 1
waka, acl, 1
waka, iobj, 1
waka, amod, 1

jEse, conj, 35
jEse, nmod, 23
jEse, obl, 10
jEse, punct, 3
jEse, amod, 1
jEse, aux, 1
jEse, root, 1

jEsI, nmod, 9
jEsI, conj, 8
jEsI, obl, 8
jEsI, punct, 3
jEsI, obj, 2

jEsA, nmod, 5
jEsA, obl, 5
jEsA, obj, 1
jEsA, root, 1

jZrie, obl, 1

jariye, obl, 1

jarie, obl, 11
jarie, nmod, 1

jagaha, nmod, 1

calawe, obl, 14
calawe, nmod, 1

KilAPa, obl, 31
KilAPa, nmod, 3

KilAPZ, obl, 2

ko bawOra, obj, 1

ko, obj, 2614
ko, iobj, 1338
ko, obl, 1016
ko, nsubj, 541
ko, conj, 263
ko, advcl, 80
ko, punct, 40
ko, nsubj:pass, 36
ko, nmod, 35
ko, aux:pass, 8
ko, acl, 7
ko, dep, 4
ko, aux, 3
ko, amod, 1
ko, xcomp, 1
ko, root, 1

ke hisAba se, obl, 2
ke hisAba se, nmod, 1

ke havAle se, obl, 11

ke sOjanya se, nsubj:pass, 1

ke sivA, conj, 1

ke silasile meM, obl, 1

ke samAnAMwara, nmod, 1

ke samAna, obl, 5
ke samAna, nmod, 3
ke samAna, obj, 2

ke samaya se, punct, 1

ke samaya meM, obl, 2

ke samaya para, obl, 2

ke samaya, obl, 35
ke samaya, nmod, 7
ke samaya, conj, 2
ke samaya, aux:pass, 1

ke samakRa, obl, 1

ke saMbaMXa meM, obl, 25
ke saMbaMXa meM, nmod, 2
ke saMbaMXa meM, aux:pass, 2

ke saMbaMXa, obl, 1

ke viroXasvarUpa, obl, 1

ke viroXa meM, obl, 2
ke viroXa meM, aux:pass, 1

ke virUxXa, conj, 1

ke viruxXa, obl, 5
ke viruxXa, conj, 1

ke viparIwa, xcomp, 1

ke vAswe, advcl, 3

ke vakwa, obl, 7
ke vakwa, nmod, 2

ke lihAja se, conj, 1
ke lihAja se, obl, 1

ke liye, advcl, 1

ke lie, obl, 762
ke lie, advcl, 637
ke lie, nmod, 113
ke lie, conj, 68
ke lie, punct, 8
ke lie, aux, 8
ke lie, obj, 6
ke lie, aux:pass, 5
ke lie, iobj, 3
ke lie, root, 3
ke lie, amod, 2
ke lie, nsubj, 2
ke lie, dep, 2
ke lie, advmod, 1

ke rUpa meM, obl, 97
ke rUpa meM, nmod, 5
ke rUpa meM, conj, 4
ke rUpa meM, punct, 2

ke rupa meM, obl, 1
ke rupa meM, punct, 1

ke muwAbikZ, obl, 11
ke muwAbikZ, nmod, 1

ke muwAbika, obl, 224
ke muwAbika, nmod, 34
ke muwAbika, punct, 1
ke muwAbika, conj, 1

ke mukAbale meM, obl, 1

ke mukAbale, obl, 18
ke mukAbale, nmod, 6
ke mukAbale, nummod, 1

ke mukAbale, obl, 1

ke mArPawa, obl, 1

ke mAXyama se, obl, 2

ke maxxenajZra, obl, 5
ke maxxenajZra, conj, 1
ke maxxenajZra, punct, 1

ke maxxenajara, obl, 27
ke maxxenajara, nmod, 3
ke maxxenajara, conj, 1
ke maxxenajara, punct, 1
